2016-05-01	2016-06-01																
2016-06-01	2016-07-01																
2016-07-01	2016-08-01																
2016-08-01	2016-09-01																
2016-09-01	2016-10-01																
2016-10-01	2016-10-31																
2016-10-31	2016-12-01																
2016-12-01	2016-12-31																
2016-12-31	2017-01-31																
2017-01-31	2017-02-28																
2017-02-28	2017-03-31																
2017-03-31	2017-04-30																
2017-04-30	2017-05-31																
